"date","geo_level","sandwich_population","sandwich_population_proportion","sandwich_time_total","sandwich_time_median"
2022-01-01,"state32",47121.60348788,0.022448534525033,520451.813152748,735
2022-01-01,"state33",13773.1246292175,0.0119512419806893,70968.1704913809,247
2022-01-01,"state34",119757.031329249,0.0160886514567783,950894.138458736,500
2022-01-01,"state35",31031.6518692866,0.0162148722264157,209860.48050516,398
2022-01-01,"state36",310890.903738533,0.0205993423690561,2822117.53227461,583
2022-01-01,"state37",182606.317337872,0.0225798053635805,1541648.3801259,495
2022-01-01,"state38",19953.8456885518,0.0365911883511818,145504.245967728,300
2022-01-01,"state39",222276.015966482,0.0202848310419961,2269659.26795992,677
2022-01-01,"state40",74816.0850573693,0.0226021304571483,774124.461134604,574
2022-01-01,"state41",85689.5282452356,0.0223249562077396,773197.428634772,628
2022-01-01,"state42",238990.924266622,0.0217591085689999,2005329.80779823,480
2022-01-01,"state44",23862.7754434115,0.0323312167533022,188392.206982103,575
2022-01-01,"state45",101885.835125147,0.0254027931527099,941669.377714113,630
2022-01-01,"state46",35301.985523594,0.0439049539225555,275994.303924575,440
2022-01-01,"state47",123935.648092447,0.0210969174248138,1154905.35575398,585
2022-01-01,"state48",508704.048039033,0.0224078651779093,4257805.76287811,405
2022-01-01,"state49",83523.5831801266,0.029454857062759,866151.514232377,636
2022-01-01,"state50",20364.6931837863,0.0365819372614746,156869.595001558,363
2022-01-01,"state51",146130.213753187,0.0186889312790133,1335087.8871515,550
2022-01-01,"state53",157252.661209157,0.0228744171673615,1563155.15689849,642
2022-01-01,"state54",40943.645339566,0.0221785451054282,453283.282367095,746
2022-01-01,"state55",122284.621372979,0.0234669311264292,1071597.52310498,435
2022-01-01,"state56",32788.9779693742,0.0560841687484093,512575.845399011,1068
2023-01-01,"state01",77646.2309587227,0.0212820274905717,823109.536162663,720
2023-01-01,"state02",24078.6012242986,0.0705761768419263,272384.261363286,547
2023-01-01,"state04",79330.3430794718,0.0156005865932373,692744.112544725,475
2023-01-01,"state05",85495.864216137,0.0344208866413647,808946.195405478,610
2023-01-01,"state06",612737.185742078,0.0226308641256042,5435133.7012895,504
2023-01-01,"state08",81310.1249704203,0.0165815608995102,653518.485172222,562
2023-01-01,"state09",36774.5485535699,0.0132902901611228,281709.941330765,382
2023-01-01,"state10",6348.83179372164,0.00810777438171629,54135.2144404973,615
2023-01-01,"state12",254702.529290389,0.0175305227468562,2564773.80816606,665
2023-01-01,"state13",178257.077093538,0.0201150083745593,1424685.42850967,453
2023-01-01,"state15",2784.07018275671,0.00399648006598867,36192.9123758373,780
2023-01-01,"state16",26206.7092973041,0.0172767092860485,355467.662030491,812
2023-01-01,"state17",247299.775478297,0.0215591941409562,1946889.29378815,455
2023-01-01,"state18",85510.7295646471,0.0145916040828931,743348.482119953,700
2023-01-01,"state19",92330.4567300625,0.0302373955898412,757513.170859081,423
2023-01-01,"state20",61834.0170924915,0.0228399277217398,574646.88318946,492
2023-01-01,"state21",56370.440739731,0.0136153091872531,509210.165244204,539
2023-01-01,"state22",81033.1202351573,0.0246917213387228,721299.930804698,616
2023-01-01,"state24",152238.198248403,0.0258573022735634,1066338.27175226,380
2023-01-01,"state25",86252.7851726099,0.0150179898530529,648185.729261979,390
2023-01-01,"state26",176725.903293588,0.0215419705281929,1448866.53998328,460
2023-01-01,"state27",72696.7368898981,0.0136210756374188,760026.650817696,645
2023-01-01,"state28",113025.836283759,0.0519345069632484,902007.570723777,408
2023-01-01,"state29",104456.379601402,0.0202436313481017,936329.213195605,482
2023-01-01,"state30",9730.89583792712,0.010779882130441,115305.998346385,905
2023-01-01,"state31",24595.0327176471,0.0155080216227736,180675.523917847,255
2023-01-01,"state32",63990.0648445567,0.0309213759774655,597565.858315117,625
2023-01-01,"state33",7370.56680537644,0.00632326369918691,44610.9741165683,253
2023-01-01,"state34",125206.288617262,0.0167004608616756,998642.119646526,430
2023-01-01,"state35",19174.0083892345,0.0104056298457825,116896.234334935,245
2023-01-01,"state36",262259.067408249,0.0178522868161127,2674855.8039655,635
2023-01-01,"state37",164954.660281567,0.0201478200011345,1322952.52400607,482
2023-01-01,"state38",14032.5757762926,0.0224742613151632,119317.971782853,240
